priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
1,Ruthven (V.S.),ruthven-v-s,R/8 G4 R60 B36 G30 W/12,R#C80000 RED; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE;,yes,280,120,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,yes,yes,Scottish Register of Tartans,"Sobieski Stewarts, The",01/01/1842,1521.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3622
2,Durie (Personal),durie-personal,DB/48 DR4 DB4 DR4 DB4 DR16 G48 Y4 G/8,G#006818 GREEN; DB#202060 DARK BLUE; DR#880000 DARK RED; Y#E8C000 YELLOW;,yes,224,110,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,yes,yes,Scottish Register of Tartans,"Lindley, Harry for Kinloch Anderson Ltd",01/01/1994,2228.0,weaver_note,Yes. A restricted design for the Durie family.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1053
3,Fraser Arisaid,fraser-arisaid,NB/6 LN4 NB20 G20 LN64 G20 LN4 NB6 LN4 NB/28,G#006818 GREEN; LN#C0C0C0 LIGHT GREY; NB#003C64 NAVY BLUE;,yes,318,110,Clan; Family,3,Scottish Register of Tartans; House of Tartan; Weddslist,1/3,yes,yes,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,615.0,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1250
4,Campbell of Glenlyon,campbell-of-glenlyon,BL/4 K2 BL14 K12 G/14,G#006818 GREEN; K#101010 BLACK; DB#202060 DARK BLUE; DG#003820 DARK GREEN; B#2C2C80 BLUE; BL#1474B4 BALMORAL BLUE;,yes,74,105,Clan; Family,3,Scottish Register of Tartans; House of Tartan; Weddslist,2/3,yes,yes,Scottish Register of Tartans,Unknown,,14.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5456
5,"Davidson, Half",davidson-half,K/6 G44 B6 G6 B38 R/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,200,105,Clan; Family,3,Scottish Register of Tartans; House of Tartan; Weddslist,3/3,yes,yes,Scottish Register of Tartans,Unknown,01/01/2002,1076.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=897
6,Lee Cox (Personal),lee-cox-personal,AB/6 W4 SCR4 P12 VG20 AB6 K6 AB6 K6 AB6 VG28 AB6 K6 AB6 K14 VG4 SCR/6,K#101010 BLACK; P#583464 HPURPLE; VG#045C2C MGREEN; SCR#A00028 SCARLET; AB#587094 AZURE; W#E0E0E0 WHITE;,yes,280,100,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan,2/3,yes,no,Scottish Register of Tartans,Cox/Urquhart,15/12/2009,,weaver_note,Yes. Developed for weaving by House of Tartan,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10205
7,Oliphant Dress,oliphant-dress,PSG/8 W4 PSG46 AB20 K4 AB8 K4 AB20 W4 AB4 W4 AB4 W/50,W#E0E0E0 WHITE; G#006818 GREEN; B#2C2C80 BLUE; K#101010 BLACK; AB#405C88 AZURE; PSG#548060 PASTEL GREEN;,yes,302,100,Clan; Family,3,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan,2/3,yes,no,Scottish Register of Tartans,Oliphant/Urquhart,05/05/2010,,weaver_note,Yes. Developed for weaving by House of Tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10227
8,Brinkie's Brae (Personal),brinkie-s-brae-personal,K/6 CW8 K6 XR36 B2 N36 K2 G36 CW2 B36 XR2 N36 G2 XR36 K6 CW8 K/6,G#006818 GREEN; N#888888 GREY; B#2C2C80 BLUE; XR#C80000 BASIC RED; CW#FCFCFC WILSON WHITE; K#101010 BLACK;,yes,520,95,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,no,yes,Scottish Register of Tartans,"Johnston, Graham Ross",01/01/1999,2572.0,none,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=354
9,Kennedy,kennedy,K/4 G4 Y2 G6 C2 G4 C2 G24 B8 K6 B6 K6 B6 K6 B8 G48 S/4,K#101010 BLACK; G#005020 MOD GREEN; Y#E8C000 YELLOW; C#960028 RED; B#2C4084 BLUE; S#C80028 SCARLET;,yes,284,90,Clan; Family,2,Scottish Register of Tartans; House of Tartan,2/2,yes,yes,Scottish Register of Tartans,,,1123.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1942
10,Gammell (Personal),gammell-personal,A/64 BR6 A6 BR6 A6 BR20 G48 M/6,G#006818 GREEN; M#901C38 MAROON; BR#B03000 BRICK RED; A#5C8CA8 AZURE;,yes,254,85,Name,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Thomas/Mackie,01/01/1965,597.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1311
