name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
A J Gallacher,a-j-gallacher,BG/4 RAB2 K2 RAB2 K6 DR14 R2 DR2 R2 DR2 R40 W8 RAB2 W6 RAB4 W6 RAB4 W4 RAB6 W4 RAB6 W2 RAB8 W2 BG/6,R#FF0000 DR#B22222 K#101010 BG#2E8B57 W#FCFCFC RAB#0000FF,#2E8B57|#0000FF|#101010|#B22222|#FF0000|#FCFCFC,yes,282,C_dual_register_scrape,
Abaco Loyalist,abaco-loyalist,B/120 R4 B4 R12 B2 R4 B2 R12 B2 R4 B2 R12 B4 N/4,N#CCBAAF R#B62531 B#3B5554,#3B5554|#B62531|#CCBAAF,yes,252,C_dual_register_scrape,
Abadia Da Cova,abadia-da-cova,G/60 LG2 G6 DR60 K2 Y/6,K#101010 W#E0E0E0 SB#A8ACE8 Y#E8C000 G#006818 DR#880000 LG#289C18,#006818|#289C18|#880000|#101010|#E8C000|#E0E0E0|#A8ACE8,yes,206,B_one_independent_archive,tartans-authority
Abbotsford Check,abbotsford-check,G/10 K4 W6 K6 DY4 B8 K6 W6 K6 W6 K6 W6 K6 W6 K6 W6 K6 G8 R6 G6 W4 G4 K/10,K#101010 B#2C2C80 DY#E8C000 G#006818 R#C80000 W#E0E0E0,#006818|#101010|#E0E0E0|#E8C000|#2C2C80|#C80000,yes,264,C_dual_register_scrape,
Abel (2015),abel-2015,B44 G44 W12 B8 Y14 G40 B48 K40 LR4 N48 K12 N48 LR4 K40,G#007800 W#FCFCFC B#2C2C80 K#101010 N#A0A0A0 Y#FCCC00 LR#E87878,#2C2C80|#007800|#FCFCFC|#FCCC00|#101010|#E87878|#A0A0A0,no,406,C_dual_register_scrape,
Abercrombie,abercrombie,G/56 W4 G28 K28 B8 K8 B8 K8 B/28,DG#003820 K#101010 B#2C2C80 G#006818 W#E0E0E0,#006818|#E0E0E0|#101010|#2C2C80|#003820,yes,268,C_dual_register_scrape,
Abercrombie (McKinlay),abercrombie-mckinlay,K/4 B16 R2 K28 G28 W2 G28 R2 K/24,K#101010 B#2C4084 R#DC0000 G#005020 W#E0E0E0,#101010|#2C4084|#DC0000|#005020|#E0E0E0,yes,240,B_one_independent_archive,weddslist
Abercrombie (Wilsons No 2/64),abercrombie-wilsons-no-2-64,K/4 P24 K24 G24 Y4 G24 K/24,K#101010 P#5A008C G#005020 Y#E8C000,#101010|#5A008C|#005020|#E8C000,yes,228,B_one_independent_archive,weddslist
Aberdeen,aberdeen,WW4 C6 R46 WW4 K32 LG8 WW2 R12 C6 WW2 C6 R12 WW2 A20 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 P12 A8 WW4 A8 P12 WW4 K32 LG8 WW4 LG8 K32 WW4 P12 A8 WW4 A8 P12 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 A20 WW2 R12 C6 WW2 C6 R12 WW2 LG8,P#780078 A#5C8CA8 LG#289C18 K#101010 R#C80000 C#A00048 WW#FCFCFC,#FCFCFC|#A00048|#C80000|#101010|#289C18|#5C8CA8|#780078,no,796,C_dual_register_scrape,
Aberdeen (Johnston and Smith),aberdeen-johnston-and-smith,K/2 MP8 W26 MP2 K10 P8 W2 P8 K10 W2 K6 R10 N6 W2 N6 R10 K26 R2 W40 N6 R/2,K#101010 MP#500050 W#E0E0E0 P#5A008C R#DC0000 N#808080,#101010|#500050|#E0E0E0|#5A008C|#DC0000|#808080,yes,384,C_dual_register_scrape,
