name,slug,threadcount,palette,symmetric,thread_total,sources_verifying,verified_by,colour_agreement,primary_source,dissenting_sources,origin_url,stwr_ref,sta_ref,designer,tartan_date,register_category,restrictions,seo_search_volume
Baird Dress,baird-dress,B/8 K8 B46 K24 G20 K2 W46 P4 W4 P/8,P#780078 PURPLE; W#E0E0E0 WHITE; G#006818 GREEN; K#101010 BLACK; B#2C2C80 BLUE;,yes,324,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=170,233,233,,01/01/2002,Clan; Family,,
Bruce Hunting,bruce-hunting,W/6 K2 G38 R8 G6 R22 G10 R22 G6 R8 G38 K2 Y/6,K#101010 BLACK; R#C80000 RED; Y#D8B000 TAN YELLOW; W#FFFFFF WHITE; G#006818 GREEN;,yes,336,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,3/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=402,1816,1816,Unknown,01/01/1939,Clan; Family,,
Bruce of Kinnaird,bruce-of-kinnaird,XR/48 WG44 K4 CW12 K4 YT4 K30 AA12 CLR12 CW/4,XR#C80000 BASIC RED; K#101010 BLACK; CW#FCFCFC CLEAR; YT#D8B000 TAN YELLOW; AA#789484 ANC AZURE; WG#408060 WTHRD GREEN; CLR#E87878 CORAL;,yes,296,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=403,1483,1483,Wilsons of Bannockburn,01/01/1819,Clan; Family,,
Buchanan Dress,buchanan-dress,A/6 T68 K4 N8 K4 Y14 K4 Y14 K4 N8 K4 W68 R/6,A#3C82AF BLUE; T#503C14 BROWN; K#101010 BLACK; N#808080 MISSING COLOUR; Y#E8C000 YELLOW; W#E0E0E0 WHITE; R#DC0000 RED;,yes,412,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,1/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=423,608,,Unknown,,Clan; Family,,
Buchanan Dress Blue (Dance),buchanan-dress-blue-dance,DR/6 WW66 RB32 WW10 RB32 WW/10,DR#880000 DARK RED; RB#1C0070 ROYAL BLUE; WW#F8F8F8 WILSON WHITE;,yes,296,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=424,1672,1672,"Macpherson, Hugh",01/01/1983,Fashion,,
Chisholm of Strathglass,chisholm-of-strathglass,R/8 AG24 BL6 AG6 BL6 AG6 BL12 R72 WW4 R/14,K#101010 BLACK; AG#003820 ANCIENT GREEN; R#C80000 RED; WW#FCFCFC WILSON WHITE; BL#2C2C80 BALMORAL BLUE;,yes,294,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=642,1455,1455,,01/01/1880,Clan; Family,,
Cockburn of Ormiston Dress,cockburn-of-ormiston-dress,R/4 K4 G16 K4 Y4 K4 B16 K4 WW4 K4 B16 G4 K4 G4 K4 WW/62,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; WW#FCFCFC WILSON WHITE; Y#E8C000 YELLOW;,yes,250,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=705,1579,1579,,01/01/1930,Clan; Family,,
Common Kilt,common-kilt,WB/4 WS2 K4 WG50 K56 WB50 K4 WS/6,WB#000048 BLUE; WS#C80000 SCARLET; WG#044028 GREEN; K#000000 BLACK;,yes,342,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=720,554,554,Wilsons of Bannockburn,01/01/1819,Fashion,,
Cunningham Dress,cunningham-dress,WW/10 R4 WW68 R68 K4 R4 RB/8,K#101010 BLACK; RB#1C0070 ROYAL BLUE; R#C80000 RED; WW#F8F8F8 WILSON WHITE;,yes,314,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,2/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=846,563,563,"Macpherson, Hugh",01/01/1986,Clan; Family,,
Dunlop,dunlop,K/6 R2 K60 W2 B56 R2 B2 W/6,K#101010 BLACK; W#E0E0E0 WHITE; B#2C2C80 BLUE; R#C80000 RED;,yes,260,4,Scottish Register of Tartans; Scottish Tartans Authority; House of Tartan; Weddslist,4/4,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1045,1197,1197,,01/01/1982,Clan; Family,,
