source_hex,locked_hex
#000000,#000000
#000024,#000028
#000028,#000028
#00002C,#00002C
#000030,#000034
#000033,#000034
#000034,#000034
#000037,#000034
#000038,#000034
#00003B,#000040
#00003C,#000040
#000040,#000040
#000048,#000048
#00004C,#000050
#000050,#000050
#000054,#000050
#000060,#000064
#000064,#000064
#00006B,#000064
#000078,#000080
#000080,#000080
#000086,#00008C
#000088,#00008C
#00008B,#00008C
#00008C,#00008C
#00009C,#00009C
#0000B4,#2C00AC
#0000C4,#0000CD
#0000CD,#0000CD
#0000DC,#0000E0
#0000E0,#0000E0
#0000FF,#0000FF
#000733,#00002C
#000C14,#000C14
#000C3C,#000034
#00137C,#071579
#001A00,#001C00
#001B00,#001C00
#001C00,#001C00
#001C04,#001C00
#001E00,#001C00
#001F5C,#001F5C
#002008,#001C00
#00243C,#00243C
#00248C,#00248C
#002699,#00248C
#002814,#002814
#002859,#002859
#002C04,#002C04
#002C18,#002814
#002C4C,#112F4B
#002C70,#002C70
#002CC0,#002EB8
#002EB8,#002EB8
#003000,#003000
#003014,#003014
#003074,#003478
#003478,#003478
#003800,#003800
#003807,#003800
#003820,#003820
#003C00,#004000
#003C14,#003C14
#003C24,#003820
#003C28,#003C28
#003C64,#003C64
#003C96,#003C9C
#003C9C,#003C9C
#003EFF,#003EFF
#003F87,#004080
#004000,#004000
#00400C,#004000
#004028,#004028
#004080,#004080
#004428,#004428
#0044A8,#003C9C
#004600,#004800
#004710,#004710
#004800,#004800
#004810,#004710
#004828,#004828
#004878,#004878
#004A2F,#005030
#004B11,#004710
#004C00,#004C00
#004C10,#005010
#004C2C,#005030
#004C40,#165041
#004F00,#004C00
#004F15,#005010
#005010,#005010
#005020,#005020
#005028,#005028
#00502C,#005028
#005030,#005030
#005044,#005448
#0051B6,#0051B6
#00540C,#005814
#00542C,#005834
#005430,#005834
#005448,#005448
#00546C,#145064
#005480,#105880
#005800,#005800
#005814,#005814
#005830,#005834
#005834,#005834
#005C20,#005C20
#005C30,#005C30
#005C34,#005C30
#006038,#00643C
#006080,#006080
#00611C,#00611C
#006400,#006400
#006428,#006428
#006438,#00643C
#00643C,#00643C
#0064AC,#0064AC
#006633,#006633
#006699,#006699
#006818,#006818
#00683C,#00643C
#00688B,#00688B
#006B54,#006B54
#006C3C,#006C3C
#006C40,#006C3C
#006E21,#006E21
#00701C,#006E21
#007040,#006C3C
#007418,#007418
#007460,#007460
#007800,#007800
#00781C,#007418
#007844,#007844
#007C00,#007C00
#007FFF,#007FFF
#008000,#008000
#00801C,#00801C
#008040,#008440
#008080,#008080
#0080FF,#007FFF
#00841C,#00881C
#008440,#008440
#008800,#008B00
#00881C,#00881C
#008B00,#008B00
#008B45,#008B45
#008C54,#008C54
#009020,#228B22
#009420,#009420
#009468,#009468
#009894,#0098A0
#009898,#0098A0
#0098A0,#0098A0
#009900,#009900
#0099CC,#0099CC
#009C24,#009C24
#00A0AC,#00A0AC
#00A424,#00A424
#00AF33,#30AC38
#00B8B4,#00B8B4
#00C814,#00C814
#00C8C8,#00C8C8
#00C957,#00C957
#00CCD0,#00C8C8
#00FA9A,#00FA9A
#00FCFC,#00FCFC
#010512,#010512
#0163AC,#1860A8
#016817,#006818
#030303,#000000
#034A10,#004710
#03522B,#005028
#040470,#1C0070
