yarn_hex,family,tartans_using,pct_of_catalog,widest_block_threads,widest_block_mm
#101010,Black,2977,54.96,240,138.5
#C80000,Red,1850,34.15,320,184.7
#006818,Green,1548,28.58,224,129.3
#E0E0E0,Grey,1391,25.68,216,124.7
#E8C000,Yellow,1323,24.42,120,69.3
#FCFCFC,White,1062,19.6,400,230.9
#2C2C80,Blue,997,18.41,196,113.1
#DC0000,Red,682,12.59,228,131.6
#005020,Green,661,12.2,166,95.8
#880000,Red,652,12.04,208,120.1
#2C4084,Blue,504,9.3,144,83.1
#000000,Black,367,6.77,188,108.5
#5C8CA8,Blue,333,6.15,132,76.2
#1C0070,Blue,324,5.98,224,129.3
#202060,Blue,288,5.32,192,110.8
#003820,Green,287,5.3,134,77.4
#888888,Grey,277,5.11,132,76.2
#780078,Pink,272,5.02,120,69.3
#D09800,Brown,262,4.84,90,52.0
#C0C0C0,Grey,261,4.82,130,75.0
#2888C4,Blue,230,4.25,160,92.4
#1474B4,Blue,224,4.14,128,73.9
#289C18,Green,211,3.9,110,63.5
#604000,Brown,206,3.8,126,72.7
#3C82AF,Blue,196,3.62,104,60.0
#BC8C00,Brown,186,3.43,200,115.5
#285800,Green,183,3.38,200,115.5
#003C64,Blue,175,3.23,136,78.5
#5C5C5C,Grey,159,2.94,152,87.7
#408060,Green,142,2.62,112,64.7
#C8C8C8,Grey,134,2.47,96,55.4
#A08858,Orange,130,2.4,156,90.1
#440044,Pink,127,2.34,172,99.3
#00008C,Blue,124,2.29,248,143.2
#004C00,Green,109,2.01,176,101.6
#441800,Brown,94,1.74,160,92.4
#5C6428,Yellow,89,1.64,120,69.3
#5A008C,Purple,85,1.57,192,110.8
#503C14,Brown,85,1.57,140,80.8
#D87C00,Orange,85,1.57,100,57.7
#14283C,Blue,83,1.53,136,78.5
#789484,Green,83,1.53,136,78.5
#FF0000,Red,81,1.5,140,80.8
#D8B000,Yellow,81,1.5,48,27.7
#98C8E8,Blue,78,1.44,108,62.3
#007800,Green,76,1.4,140,80.8
#C89800,Yellow,75,1.38,84,48.5
#E87878,Red,75,1.38,68,39.3
#C8002C,Red,73,1.35,120,69.3
#A8ACE8,Blue,72,1.33,88,50.8
#B8B8B8,Grey,70,1.29,76,43.9
#1C1C50,Blue,67,1.24,140,80.8
#A00000,Red,66,1.22,124,71.6
#901C38,Red,65,1.2,112,64.7
#808080,Grey,64,1.18,120,69.3
#1870A4,Blue,63,1.16,172,99.3
#8C7038,Brown,63,1.16,200,115.5
#C88C00,Brown,59,1.09,60,34.6
#2474E8,Blue,58,1.07,130,75.0
#1C1C1C,Black,57,1.05,144,83.1
#C82828,Red,57,1.05,172,99.3
#4C3428,Brown,52,0.96,88,50.8
#000064,Blue,50,0.92,104,60.0
#A0A0A0,Grey,50,0.92,72,41.6
#00643C,Green,49,0.9,88,50.8
#FFE600,Yellow,48,0.89,84,48.5
#A00048,Pink,47,0.87,128,73.9
#003C14,Green,47,0.87,124,71.6
#002814,Black,46,0.85,136,78.5
#0000CD,Blue,45,0.83,74,42.7
#080848,Blue,44,0.81,170,98.1
#141E46,Blue,44,0.81,124,71.6
#6C0070,Purple,43,0.79,120,69.3
#B0B0B0,Grey,42,0.78,80,46.2
#F0E0C8,Orange,42,0.78,114,65.8
#3850C8,Blue,41,0.76,120,69.3
#960028,Pink,41,0.76,96,55.4
#A07C58,Orange,41,0.76,80,46.2
#646464,Grey,40,0.74,104,60.0
#000080,Blue,40,0.74,128,73.9
#0596FA,Blue,40,0.74,166,95.8
#BE7832,Orange,39,0.72,70,40.4
#E0A126,Orange,37,0.68,72,41.6
#603800,Brown,36,0.66,92,53.1
#008B00,Green,34,0.63,82,47.3
#E8CCB8,Orange,33,0.61,68,39.3
#9C68A4,Purple,33,0.61,99,57.1
#000048,Blue,32,0.59,104,60.0
#B468AC,Pink,30,0.55,60,34.6
#F8F4D0,Yellow,30,0.55,136,78.5
#FCCC00,Yellow,30,0.55,42,24.2
#5F749C,Blue,30,0.55,114,65.8
#48A4C0,Teal,30,0.55,100,57.7
#800028,Pink,28,0.52,184,106.2
#680028,Pink,28,0.52,84,48.5
#788CB4,Blue,28,0.52,106,61.2
#004028,Green,27,0.5,62,35.8
#3474FC,Blue,27,0.5,132,76.2
#1C1714,Brown,27,0.5,160,92.4
#960000,Red,27,0.5,64,36.9
#2A2303,Black,27,0.5,130,75.0
#00002C,Black,26,0.48,96,55.4
#505050,Grey,26,0.48,76,43.9
#B84C00,Brown,26,0.48,78,45.0
#C4BC68,Yellow,25,0.46,36,20.8
#A0783C,Orange,25,0.46,96,55.4
#FFFF00,Yellow,25,0.46,48,27.7
#005448,Teal,24,0.44,120,69.3
#120A01,Black,23,0.42,124,71.6
#000034,Blue,22,0.41,80,46.2
#B03000,Brown,21,0.39,144,83.1
#146400,Green,21,0.39,56,32.3
#649848,Green,21,0.39,82,47.3
#FA4B00,Orange,21,0.39,42,24.2
#003014,Green,21,0.39,96,55.4
#DC943C,Orange,20,0.37,60,34.6
#006400,Green,20,0.37,100,57.7
#4C0000,Red,20,0.37,72,41.6
#C49CD8,Purple,20,0.37,40,23.1
#781C38,Pink,20,0.37,48,27.7
#F9F5EF,White,19,0.35,54,31.2
#82CFFD,Blue,19,0.35,64,36.9
#F8E38C,Yellow,19,0.35,98,56.6
#98481C,Brown,19,0.35,200,115.5
#F7F1E8,Orange,19,0.35,88,50.8
#8C8C8C,Grey,19,0.35,120,69.3
#DCBC00,Yellow,19,0.35,30,17.3
#CC4438,Red,18,0.33,60,34.6
#000028,Black,18,0.33,84,48.5
#3C2010,Brown,18,0.33,88,50.8
#E86000,Orange,17,0.31,80,46.2
#506878,Blue,16,0.3,130,75.0
#B07430,Orange,16,0.3,88,50.8
#006428,Green,16,0.3,168,97.0
#23321B,Green,16,0.3,124,71.6
#C80028,Red,15,0.28,50,28.9
#00FCFC,Teal,15,0.28,18,10.4
#3C3C3C,Grey,15,0.28,120,69.3
#0000FF,Blue,14,0.26,50,28.9
#D05054,Red,14,0.26,94,54.3
#9058D8,Purple,14,0.26,52,30.0
#9C9C00,Yellow,14,0.26,12,6.9
