row,hex,R,G,B,family,hue,lightness,saturation,tartans_using,pct_of_catalog,widest_block_mm,nearest_hex,nearest_deltaE,nearest_tartans
1,#000000,0,0,0,Black,0.0,0.0,0.0,367,6.77,108.5,#101010,2.73,2977
2,#1C0000,28,0,0,Black,0.0,5.5,100.0,1,0.02,3.5,#230000,3.71,1
3,#101010,16,16,16,Black,0.0,6.3,0.0,2977,54.96,138.5,#141010,2.29,2
4,#230000,35,0,0,Black,0.0,6.9,100.0,1,0.02,11.5,#1C0000,3.71,1
5,#141010,20,16,16,Black,0.0,7.1,11.1,2,0.04,23.1,#101010,2.29,2977
6,#1C1C1C,28,28,28,Black,0.0,11.0,0.0,57,1.05,83.1,#101010,3.42,2977
7,#120A01,18,10,1,Black,31.8,3.7,89.5,23,0.42,71.6,#1C1714,3.41,27
8,#2A2303,42,35,3,Black,49.2,8.8,86.7,27,0.5,75.0,#2A230C,2.18,1
9,#0C0C04,12,12,4,Black,60.0,3.1,50.0,2,0.04,48.5,#101010,3.37,2977
10,#1B2401,27,36,1,Black,75.4,7.3,94.6,1,0.02,0.6,#23321B,5.5,16
11,#001C00,0,28,0,Black,120.0,5.5,100.0,9,0.17,97.0,#142814,4.28,1
12,#081408,8,20,8,Black,120.0,5.5,42.9,1,0.02,5.2,#0C0C04,6.03,2
13,#002C04,0,44,4,Black,125.5,8.6,100.0,1,0.02,11.5,#003000,2.11,2
14,#002814,0,40,20,Black,150.0,7.8,100.0,46,0.85,78.5,#003014,3.55,21
15,#000C14,0,12,20,Black,204.0,3.9,100.0,1,0.02,2.3,#0E1014,3.52,2
16,#0E1014,14,16,20,Black,220.0,6.7,17.6,2,0.04,13.9,#101010,2.38,2977
17,#010512,1,5,18,Black,225.9,3.7,89.5,1,0.02,23.1,#10101A,2.8,3
18,#000028,0,0,40,Black,240.0,7.8,100.0,18,0.33,48.5,#00002C,1.37,26
19,#10101A,16,16,26,Black,240.0,8.2,23.8,3,0.06,2.3,#010512,2.8,1
20,#00002C,0,0,44,Black,240.0,8.6,100.0,26,0.48,55.4,#000028,1.37,18
21,#080020,8,0,32,Black,255.0,6.3,100.0,1,0.02,3.5,#000028,3.85,18
22,#20001C,32,0,28,Black,307.5,6.3,100.0,1,0.02,30.0,#301130,5.18,1
23,#282828,40,40,40,Grey,0.0,15.7,0.0,6,0.11,50.8,#1C1C1C,3.78,57
24,#343434,52,52,52,Grey,0.0,20.4,0.0,5,0.09,46.2,#3C3C3C,2.6,15
25,#3C3C3C,60,60,60,Grey,0.0,23.5,0.0,15,0.28,69.3,#343434,2.6,5
26,#4A4A4A,74,74,74,Grey,0.0,29.0,0.0,3,0.06,39.3,#505050,2.06,26
